target,text,indices,label
seafood,"for some reason , all the $t$ on the menu was unavailable except for the salmon .",6,-1
menu,"for some reason , all the seafood on the $t$ was unavailable except for the salmon .",9,-1
salmon,"for some reason , all the seafood on the menu was unavailable except for the $t$ .",15,0
beverages,"the $t$ were excellent , and the dessert was good .",1,1
dessert,"the beverages were excellent , and the $t$ was good .",7,1
hostess,the $t$ and the waitress were incredibly rude and did everything they could to rush us out .,1,-1
waitress,the hostess and the $t$ were incredibly rude and did everything they could to rush us out .,4,-1
asian appetizers,"next time , we wouldn ' t dare ordering anything else other than some simple $t$ and drinks .",15,1
drinks,"next time , we wouldn ' t dare ordering anything else other than some simple asian appetizers and $t$ .",18,1
wait,"please if your thinking about it go , and stay the $t$ you won ' t be disappointed .",11,-1
view,i must say the $t$ of nyc is so beautiful !,4,1
meal,"if you ' d like to have a nice light $t$ with an asian accent , long tan is a good place on the slope .",10,1
dinner,"when going out for a nice $t$ , i like a nice ambiance as well as very good food .",6,1
ambiance,"when going out for a nice dinner , i like a nice $t$ as well as very good food .",12,1
food,"when going out for a nice dinner , i like a nice ambiance as well as very good $t$ .",18,1
service,"otherwise , this place has great $t$ and prices and a nice friendly atmosphere .",6,1
prices,"otherwise , this place has great service and $t$ and a nice friendly atmosphere .",8,1
atmosphere,"otherwise , this place has great service and prices and a nice friendly $t$ .",13,1
value,highly recommend this as great $t$ for excellent sushi and service .,5,1
sushi,highly recommend this as great value for excellent $t$ and service .,8,1
service,highly recommend this as great value for excellent sushi and $t$ .,10,1
served,this place would be so much better $t$ by being run by a group that actually understands customer service .,7,-1
service,this place would be so much better served by being run by a group that actually understands customer $t$ .,18,-1
service,a++ the $t$ was good to excellent along with the attitude .,2,1
attitude,a++ the service was good to excellent along with the $t$ .,10,1
food,the $t$ is awesome - definitely try the striped bass .,1,1
striped bass,the food is awesome - definitely try the $t$ .,8,1
corriander,"the music does get a little loud at times , but it just made me want to lean closer to my beautiful wife , and as i did , i got a whiff of $t$ .",34,0
black white shakes,$t$ came out good also .,0,1
meal,it ' s simply the best $t$ in nyc .,6,1
dinner,after passing by this restaurant for sometime i finally decided to go in and have $t$ .,15,0
seating,"the $t$ was if they were trying to get the maximum amount of people into the restaurant , so be nice to your neighbor when you dine here .",1,-1
chu chu curry,i ordered the $t$ and my friend ordered the pad thai chicken .,3,0
pad thai chicken,i ordered the chu chu curry and my friend ordered the $t$ .,11,0
prix fixe,we go on mondays for the $t$ and our experience with the food has been comparable to blue ribbon .,6,0
food,we go on mondays for the prix fixe and our experience with the $t$ has been comparable to blue ribbon .,13,0
pastrami,"however , they ' ve got the most amazing $t$ and the soups hit the spot .",9,1
soups,"however , they ' ve got the most amazing pastrami and the $t$ hit the spot .",12,1
bagels,great $t$ made the old - fashioned way .,1,1
sushi,"this is some really good , inexpensive $t$ .",7,1
bagel with lox spread,"my personal favorite is an everything $t$ , but all the bagles are unbeliavably good .",6,1
bagles,"my personal favorite is an everything bagel with lox spread , but all the $t$ are unbeliavably good .",14,1
food,"i wouldn ' t even have complained at all if the $t$ at least tasted good but the quality of food was crappy , too .",11,-1
quality of food,"i wouldn ' t even have complained at all if the food at least tasted good but the $t$ was crappy , too .",18,-1
lobby area,for the next hour and a half we stood in the crowded $t$ of this touristy restaurant listening to all types of explanations of why we were not being seated .,12,-1
seated,for the next hour and a half we stood in the crowded lobby area of this touristy restaurant listening to all types of explanations of why we were not being $t$ .,30,-1
pizza,the $t$ is delicious and the proprietor is one of the nicest in nyc .,1,1
proprietor,the pizza is delicious and the $t$ is one of the nicest in nyc .,6,1
lunch meetings,"also good for client $t$ , esp .",4,0
decor,"the $t$ is dark , cool and soothing , while the food ' s presentation is spectacular , considering the low prices .",1,1
food ' s presentation,"the decor is dark , cool and soothing , while the $t$ is spectacular , considering the low prices .",11,1
prices,"the decor is dark , cool and soothing , while the food ' s presentation is spectacular , considering the low $t$ .",21,1
waitstaff,the $t$ were very nice and suggested swordfish for my husband he enjoyed his meal .,1,1
swordfish,the waitstaff were very nice and suggested $t$ for my husband he enjoyed his meal .,7,1
meal,the waitstaff were very nice and suggested swordfish for my husband he enjoyed his $t$ .,14,1
setting,the $t$ is casual and romantic .,1,1
management,"terrible , terrible $t$ - deserves to be shut - down .",3,-1
service,"great friendly $t$ , fast seating , fast delivery , excellent sushi .",2,1
seating,"great friendly service , fast $t$ , fast delivery , excellent sushi .",5,1
delivery,"great friendly service , fast seating , fast $t$ , excellent sushi .",8,1
sushi,"great friendly service , fast seating , fast delivery , excellent $t$ .",11,1
desserts,the $t$ are more appealing then stuffy overpriced french restaurants .,1,1
italian food,"the $t$ has flavor ( that can be sort of surprising on the ues ) , and the service turns from a nightmare to attentive , they sort of remind me of the ny yankees of the late 90 ' s , no matter how bad it look , you knew that there was a rally just around the corner . . .",1,1
food,"i found the $t$ to be outstanding , particulary the salmon dish i had .",3,1
salmon dish,"i found the food to be outstanding , particulary the $t$ i had .",10,1
rolls,mizu is home to creative and unique $t$ not to found anywhere else .,7,1
food,baluchi ' s has solid $t$ and a nice decor at reasonable prices .,5,1
decor,baluchi ' s has solid food and a nice $t$ at reasonable prices .,9,1
prices,baluchi ' s has solid food and a nice decor at reasonable $t$ .,12,1
owner,"emilio , the $t$ , is often sitting in the front table greeting guests as they come and go .",3,1
lunch,i have been to spice three times - twice during $t$ and once at dinner .,10,0
dinner,i have been to spice three times - twice during lunch and once at $t$ .,14,0
moules,"$t$ were excellent , lobster ravioli was very salty !",0,1
lobster ravioli,"moules were excellent , $t$ was very salty !",4,-1
eat,"a cheap $t$ for nyc , but not for dosa .",2,1
dosa,"a cheap eat for nyc , but not for $t$ .",9,-1
atmosphere,the $t$ is noisy and the waiters are literally walking around doing things as fast as they can .,1,-1
seafood,"the $t$ is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",1,1
wine list,"the seafood is amazing , there ' s a good $t$ , and the ever - changing menu always offers some great surprises .",10,1
menu,"the seafood is amazing , there ' s a good wine list , and the ever - changing $t$ always offers some great surprises .",18,1
wine,i don ' t usually order $t$ with indian so i can ' t comment on their wine list or their wines .,6,0
indian,i don ' t usually order wine with $t$ so i can ' t comment on their wine list or their wines .,8,0
wine list,i don ' t usually order wine with indian so i can ' t comment on their $t$ or their wines .,17,0
wines,i don ' t usually order wine with indian so i can ' t comment on their wine list or their $t$ .,21,0
pastrami or corned beef,$t$ are juicy and piled high ( ask for extra rye bread ) .,0,1
rye bread,pastrami or corned beef are juicy and piled high ( ask for extra $t$ ) .,13,1
glasses of champagne,"( $200 for 2 $t$ , not too expensive bottle of wine and 2 after dinner drinks ) .",4,-1
bottle of wine,"( $200 for 2 glasses of champagne , not too expensive $t$ and 2 after dinner drinks ) .",11,-1
after dinner drinks,"( $200 for 2 glasses of champagne , not too expensive bottle of wine and 2 $t$ ) .",16,-1
seasoning,"really though , where ' s the $t$ ?",7,-1
food,"the $t$ was just ok , at least for what food was available .",1,0
food,"the food was just ok , at least for what $t$ was available .",10,-1
waitress,the $t$ was very patient with us and the food is phenomenal !,1,1
food,the waitress was very patient with us and the $t$ is phenomenal !,9,1
ambience,"the $t$ was nice , but service wasn ' t so great .",1,1
service,"the ambience was nice , but $t$ wasn ' t so great .",6,-1
wine list,"solid $t$ , knowledgeable staff , friendly owners and an adventurous , ever - changing menu keep us coming back .",1,1
staff,"solid wine list , knowledgeable $t$ , friendly owners and an adventurous , ever - changing menu keep us coming back .",5,1
owners,"solid wine list , knowledgeable staff , friendly $t$ and an adventurous , ever - changing menu keep us coming back .",8,1
menu,"solid wine list , knowledgeable staff , friendly owners and an adventurous , ever - changing $t$ keep us coming back .",16,1
people,the $t$ that work there are always so friendly you forget you are in new york sometimes .,1,1
menu,"we didn ' t even see a $t$ , as our waiter described both the specials and the main dishes .",7,0
waiter,"we didn ' t even see a menu , as our $t$ described both the specials and the main dishes .",11,1
specials,"we didn ' t even see a menu , as our waiter described both the $t$ and the main dishes .",15,0
main dishes,"we didn ' t even see a menu , as our waiter described both the specials and the $t$ .",18,0
location,the $t$ and ambience is ok but the food is what makes up for it .,1,0
ambience,the location and $t$ is ok but the food is what makes up for it .,3,0
food,the location and ambience is ok but the $t$ is what makes up for it .,8,1
stuff,"otherwise , good $t$ for late nite eats .",3,1
eats,"otherwise , good stuff for late nite $t$ .",7,1
dinner,"the $t$ was ok , nothing i would have again .",1,-1
gourmet food,i love and i know $t$ by excellence !,5,1
bruschetta,"i plan to come here again and look forward to trying their assortment of $t$ , panini ' s . . . . .",14,1
panini ' s,"i plan to come here again and look forward to trying their assortment of bruschetta , $t$ . . . . .",16,1
dishes,"two people in our party felt like something else , and volare immediately obliged with two great $t$ that were not in their regular menu .",17,1
menu,"two people in our party felt like something else , and volare immediately obliged with two great dishes that were not in their regular $t$ .",24,0
service,he offers subpar $t$ and has no personality .,3,-1
waitress,"the $t$ remembers me and is very friendly , she knows what my regular is and that ' s the fried mini buns with the condensed milk and the assorted fruits on beancurd .",1,1
fried mini buns with the condensed milk and the assorted fruits on beancurd,"the waitress remembers me and is very friendly , she knows what my regular is and that ' s the $t$ .",20,1
food,diner $t$ at bistro prices is a bummer . . . .,1,-1
prices,diner food at bistro $t$ is a bummer . . . .,4,-1
food,"while we thoroughly enjoyed the $t$ , it was annoying to scream across the table for conversation .",5,1
portions,the $t$ are large and the servers always surprise us with a different starter .,1,1
servers,the portions are large and the $t$ always surprise us with a different starter .,6,1
starter,the portions are large and the servers always surprise us with a different $t$ .,13,1
bagels,"delicious $t$ , especially when right out of the oven .",1,1
food,all the $t$ was hot tasty .,2,1
pizza,this is one great place to eat $t$ more out but not a good place for take - out pizza .,7,1
out pizza,this is one great place to eat pizza more out but not a good place for take - $t$ .,18,-1
server,our $t$ was very helpful and friendly .,1,1
green curry with vegetables,try $t$ .,1,1
place,"first of all , this $t$ is *not* romantic , as claimed by citysearch ' s editorial review .",5,-1
door,"the second you walk through the heavy vault like $t$ , with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime .",9,0
priced,much more reasonably $t$ too !,3,1
food,"the $t$ was not very tasty , the portioins were tiny even for such a high quality restaurant .",1,-1
portioins,"the food was not very tasty , the $t$ were tiny even for such a high quality restaurant .",8,-1
reservation,why make a $t$ if you aren ' t going to keep it ?,3,-1
pad thai,"the $t$ is excellent here , as well .",1,1
lunch specials,i do not recommend $t$ just because it tasts the same with other regular chinese restaurant .,4,-1
place,"we parked on the block of nina ' s the $t$ looked nice , with people obviously enjoying their pizzas .",10,1
pizzas,"we parked on the block of nina ' s the place looked nice , with people obviously enjoying their $t$ .",19,1
food,"the $t$ is o . k . , but not any better than what you get at a good neighborhood restaurant .",1,0
stickers,we had the pot - $t$ which were great and a tempura dish that was great .,5,1
tempura dish,we had the pot - stickers which were great and a $t$ that was great .,11,1
stuff,i think the $t$ was better than disney .,3,1
entree range,"while the $20 $t$ is not overly expensive , in new york city , there is definitely better food in that range , and so sapphire , despite it ' s lovely atmosphere , will most likely not be a restaurant to which i will return .",3,1
food,"while the $20 entree range is not overly expensive , in new york city , there is definitely better $t$ in that range , and so sapphire , despite it ' s lovely atmosphere , will most likely not be a restaurant to which i will return .",19,-1
atmosphere,"while the $20 entree range is not overly expensive , in new york city , there is definitely better food in that range , and so sapphire , despite it ' s lovely $t$ , will most likely not be a restaurant to which i will return .",33,1
french food,"orsay , is without a doubt one of the best values for authentic $t$ in nyc .",13,1
deliveries,"well , their $t$ take for ever and the food is usually cold .",3,-1
food,"well , their deliveries take for ever and the $t$ is usually cold .",9,-1
staff,the $t$ is no nonsense .,1,1
portions,and really large $t$ .,3,1
staff,this is a great thai restaurant with a very friendly $t$ .,10,1
smoked salmon and roe appetizer,i ordered the $t$ and it was off flavor .,3,-1
lunch,"we went here for $t$ a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .",4,0
food,"we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the $t$ .",21,1
garlic shrimp,"i recommend the $t$ , okra ( bindi ) , and anything with lamb .",3,1
okra ( bindi,"i recommend the garlic shrimp , $t$ ) , and anything with lamb .",6,1
lamb,"i recommend the garlic shrimp , okra ( bindi ) , and anything with $t$ .",14,1
waiter,"as we were leaving , the couple standing by the door said to another $t$ , we ' re not in a hurry .",14,0
menu,"the $t$ was impressive with selections ranging from a burger , to steak , to escargot .",1,1
burger,"the menu was impressive with selections ranging from a $t$ , to steak , to escargot .",9,0
steak,"the menu was impressive with selections ranging from a burger , to $t$ , to escargot .",12,0
escargot,"the menu was impressive with selections ranging from a burger , to steak , to $t$ .",15,0
plate,"in fact , two people could really share one $t$ .",9,1
food,the $t$ is great and authentic .,1,1
casual dinner,good for $t$ with jeans and sneakers .,2,1
food,"anyway , the $t$ is good , the price is right and they have a decent wine list .",3,1
price,"anyway , the food is good , the $t$ is right and they have a decent wine list .",8,1
wine list,"anyway , the food is good , the price is right and they have a decent $t$ .",16,1
prices,$t$ are higher to dine in and their chicken tikka marsala is quite good .,0,-1
chicken tikka marsala,prices are higher to dine in and their $t$ is quite good .,8,1
styles of pizza,this place has many different $t$ and they are all amazing .,5,1
look,the photos of the restaurant in its web site are way better than the real $t$ .,15,-1
food,the $t$ was lousy - too sweet or too salty and the portions tiny .,1,-1
portions,the food was lousy - too sweet or too salty and the $t$ tiny .,12,-1
coconut rice,but the $t$ was good .,2,1
appetizer,it took them 25 minutes to bring our $t$ .,8,0
food,the $t$ was great .,1,1
food,pair you $t$ with the excellent beers on tap or their well priced wine list .,2,0
beers on tap,pair you food with the excellent $t$ or their well priced wine list .,6,1
priced wine list,pair you food with the excellent beers on tap or their well $t$ .,12,1
music,if you like your $t$ blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you ' ll love it here .,4,-1
bottle minimun,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar $t$ then you ' ll love it here .,22,-1
food,all of my co - workers stated that the $t$ was amazing and wondered why they hadn ' t heard about this place .,9,1
spot,metrazur has a beautiful $t$ overlooking the main terminal .,4,1
staff,friendly $t$ that actually lets you enjoy your meal and the company you ' re with .,1,1
meal,friendly staff that actually lets you enjoy your $t$ and the company you ' re with .,8,1
table,the restaurant is rather small but we were lucky to get a $t$ quickly .,12,1
quality of food,"$t$ is excellent and price is cheap , stick to pork , fish , chicken , lamb and vegetables .",0,1
price,"quality of food is excellent and $t$ is cheap , stick to pork , fish , chicken , lamb and vegetables .",6,1
pork,"quality of food is excellent and price is cheap , stick to $t$ , fish , chicken , lamb and vegetables .",12,1
fish,"quality of food is excellent and price is cheap , stick to pork , $t$ , chicken , lamb and vegetables .",14,1
chicken,"quality of food is excellent and price is cheap , stick to pork , fish , $t$ , lamb and vegetables .",16,1
lamb,"quality of food is excellent and price is cheap , stick to pork , fish , chicken , $t$ and vegetables .",18,1
vegetables,"quality of food is excellent and price is cheap , stick to pork , fish , chicken , lamb and $t$ .",20,1
place,"the $t$ is a little tight and on a cold day , the seating by the entranceway can be pretty drafty .",1,-1
seating,"the place is a little tight and on a cold day , the $t$ by the entranceway can be pretty drafty .",13,-1
appetizing,the $t$ is excellent - just as good as zabars barney greengrass at a reasonable price ( if bought by the pound ) .,1,1
price,the appetizing is excellent - just as good as zabars barney greengrass at a reasonable $t$ ( if bought by the pound ) .,15,1
bun,"but , they were too big for the $t$ .",8,0
food,"the $t$ is fresh , delicious , and reasonably priced .",1,1
priced,"the food is fresh , delicious , and reasonably $t$ .",9,1
fusion of french and indian cooking,raga stands out with an interesting $t$ .,6,1
turnip cake,"a few tips : skip the $t$ , roast pork buns and egg custards .",6,-1
roast pork buns,"a few tips : skip the turnip cake , $t$ and egg custards .",9,-1
egg custards,"a few tips : skip the turnip cake , roast pork buns and $t$ .",13,-1
bagels,the $t$ are fabulous .,1,1
seating in the garden,"oh yes , and they lie on the phone , claiming they have $t$ , then of course the seats are not available .",13,0
seats,"oh yes , and they lie on the phone , claiming they have seating in the garden , then of course the $t$ are not available .",22,0
water,although they do the typical what kind of $t$ would you like questions the service was good and overall very relaxing to place to eat .,8,0
service,although they do the typical what kind of water would you like questions the $t$ was good and overall very relaxing to place to eat .,14,1
place,although they do the typical what kind of water would you like questions the service was good and overall very relaxing to $t$ to eat .,22,1
food,"the $t$ was very good , a great deal , and the place its self was great .",1,1
place,"the food was very good , a great deal , and the $t$ its self was great .",12,1
food options,the $t$ rule .,1,1
cost,a great choice at any $t$ and a great deal .,5,1
course dinner,"we ate here in march , 2006 and ordered the pre - theatre 3 - $t$ with wine flight .",15,0
wine flight,"we ate here in march , 2006 and ordered the pre - theatre 3 - course dinner with $t$ .",18,0
lunch,"probably much busier for $t$ , it ' s seldom crowded for dinner ( too close to downtown ) .",4,0
dinner,"probably much busier for lunch , it ' s seldom crowded for $t$ ( too close to downtown ) .",12,0
calzones,"their $t$ are horrific , bad , vomit - inducing , yuck .",1,-1
drink,it takes forever to get a $t$ and they almost always forget to bring something ( although they dont forget to charge you for it .,6,0
place,the $t$ itself is beautiful the bar scene seems to be happening .,1,1
bar scene,the place itself is beautiful the $t$ seems to be happening .,6,1
staff,"saturday , nov . 6th i had a group from work come in with about 35 people and the $t$ was amazing to accomodate us .",19,1
spreads,"good $t$ , great beverage selections and bagels really tasty .",1,1
beverage selections,"good spreads , great $t$ and bagels really tasty .",4,1
bagels,"good spreads , great beverage selections and $t$ really tasty .",7,1
waiter,"first , the $t$ who served us neglected to fill us in on the specials , which i would have chosen had i known about them .",3,-1
served,"first , the waiter who $t$ us neglected to fill us in on the specials , which i would have chosen had i known about them .",5,-1
specials,"first , the waiter who served us neglected to fill us in on the $t$ , which i would have chosen had i known about them .",14,1
meal,"also , top the $t$ with a delicious and perfect slice of tiramisu .",4,0
tiramisu,"also , top the meal with a delicious and perfect slice of $t$ .",12,1
secret back room,check out the $t$ .,3,1
bar,"it ' s also attached to angel ' s share , which is a cool , more romantic $t$ . . .",18,1
food,"authentic $t$ and they have real service , not just the rush you get sometimes when they try to push you out the door .",1,1
service,"authentic food and they have real $t$ , not just the rush you get sometimes when they try to push you out the door .",6,1
gulab jamun,stick to the $t$ .,3,1
prices,"i am amazed by the poor reviews - i find this place to be standout italian in an area flooded with italian - great $t$ , great atmosphere , good service and a wonderful wine list .",24,1
atmosphere,"i am amazed by the poor reviews - i find this place to be standout italian in an area flooded with italian - great prices , great $t$ , good service and a wonderful wine list .",27,1
service,"i am amazed by the poor reviews - i find this place to be standout italian in an area flooded with italian - great prices , great atmosphere , good $t$ and a wonderful wine list .",30,1
wine list,"i am amazed by the poor reviews - i find this place to be standout italian in an area flooded with italian - great prices , great atmosphere , good service and a wonderful $t$ .",34,1
diner,i was back - to - back with the $t$ at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again .,9,0
table,i was back - to - back with the diner at the $t$ behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again .,12,-1
wait staff,i was back - to - back with the diner at the table behind me and $t$ had to hoist trays over our heads as they squeezed past us again and again .,16,-1
meal,with the theater 2 blocks away we had a delicious $t$ in a beautiful room .,10,1
room,with the theater 2 blocks away we had a delicious meal in a beautiful $t$ .,14,1
dinner,"we ' ve only eaten in the restaurant once , but we have ordered many times for $t$ .",17,0
desserts with frog jelly,by far this is the only chinese desserts place i know in ny or anywhere close in the northeastern america that serves $t$ in a couple of varieties and pig feet ginger simmered in black vinegar .,22,1
pig feet ginger simmered in black vinegar,by far this is the only chinese desserts place i know in ny or anywhere close in the northeastern america that serves desserts with frog jelly in a couple of varieties and $t$ .,32,1
food,the $t$ is great and reasonably priced .,1,1
priced,the food is great and reasonably $t$ .,6,1
thai cuisine,i would definitely recommend sea if you like $t$ !,8,1
host,"over the years the $t$ , vittorio , and his crew , have always treated me as family - - although with all the business this not - so - little gem does , it amazing he ' s even able to remember a consistent but not - so - frequent visitor .",4,1
crew,"over the years the host , vittorio , and his $t$ , have always treated me as family - - although with all the business this not - so - little gem does , it amazing he ' s even able to remember a consistent but not - so - frequent visitor .",10,1
round tables,"the restuarant itself is not large , but seems to have several $t$ to accomodate large groups hoping to save a buck to eat authentic taiwanese .",12,1
taiwanese,"the restuarant itself is not large , but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic $t$ .",26,1
french fries,"my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the $t$ were the best he has had .",22,1
dinner,"it is the type of place to run into old friends and have a late , raucus $t$ .",17,1
food,"the $t$ is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",1,1
specials,"the food is delicious - from the $t$ to the regular menu - fare , the dishes are never a disappointment .",7,1
regular,"the food is delicious - from the specials to the $t$ menu - fare , the dishes are never a disappointment .",10,1
dishes,"the food is delicious - from the specials to the regular menu - fare , the $t$ are never a disappointment .",16,1
prices,$t$ are in line .,0,0
fresh tomato sauce,"the combination of $t$ , fresh mozz cheese , basil and the dough they make with imported flour , makes this is one of the better pizza ' s in ny .",3,1
fresh mozz cheese,"the combination of fresh tomato sauce , $t$ , basil and the dough they make with imported flour , makes this is one of the better pizza ' s in ny .",7,1
basil,"the combination of fresh tomato sauce , fresh mozz cheese , $t$ and the dough they make with imported flour , makes this is one of the better pizza ' s in ny .",11,1
dough,"the combination of fresh tomato sauce , fresh mozz cheese , basil and the $t$ they make with imported flour , makes this is one of the better pizza ' s in ny .",14,1
flour,"the combination of fresh tomato sauce , fresh mozz cheese , basil and the dough they make with imported $t$ , makes this is one of the better pizza ' s in ny .",19,1
pizza ' s,"the combination of fresh tomato sauce , fresh mozz cheese , basil and the dough they make with imported flour , makes this is one of the better $t$ in ny .",28,1
food,the $t$ is prepared quickly and efficiently .,1,1
indian food,"for all of you new to $t$ , try the paneer roll , it is a piece of heaven .",6,1
paneer roll,"for all of you new to indian food , try the $t$ , it is a piece of heaven .",11,1
food,the $t$ looked very appetizing and delicious since it came on a variety of fancy plates .,1,1
plates,the food looked very appetizing and delicious since it came on a variety of fancy $t$ .,15,1
fresh mozzerella slices,both the $t$ and the plain cheese slice are phenomenal .,2,1
plain cheese slice,both the fresh mozzerella slices and the $t$ are phenomenal .,7,1
food,"the $t$ is terrible and overall , i would have to say avoid at all costs .",1,-1
food,"unfortunately , the $t$ was not something to get worked up about .",3,-1
food,"it ' s constantly open , catering to the pakistani cabbies lined up on crosby st . , so there ' s more turnover with the $t$ than you ' d expect ( i . e . , surprisingly fresh ) .",26,1
filet mignon with garlic mash,i had $t$ .,2,0
theater menu,"i went at 6 : 00 pm specifically for the pre - $t$ ( $19 . 95 for roasted tomato soup with chevre , steak frites , creme brulee ) and it was marvelous .",12,1
roasted tomato soup with chevre,"i went at 6 : 00 pm specifically for the pre - theater menu ( $19 . 95 for $t$ , steak frites , creme brulee ) and it was marvelous .",19,1
steak frites,"i went at 6 : 00 pm specifically for the pre - theater menu ( $19 . 95 for roasted tomato soup with chevre , $t$ , creme brulee ) and it was marvelous .",25,1
creme brulee,"i went at 6 : 00 pm specifically for the pre - theater menu ( $19 . 95 for roasted tomato soup with chevre , steak frites , $t$ ) and it was marvelous .",28,1
waitstaff,"the $t$ were attentive , polite and helpful - an impressive feat in such close quarters .",1,1
bread,"- the $t$ at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes , however be warned that the peter ' s favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top , like a salad .",2,1
pizza,"- the bread at the beginning is super tasty and makes you want more - the $t$ is delicious and comes in personal sizes , however be warned that the peter ' s favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top , like a salad .",16,1
peter ' s favourite pizza with prosciutto and baby arugula,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes , however be warned that the $t$ is actually a margarite pizza with cold prosciutto and baby arugula on top , like a salad .",30,0
margarite pizza with cold prosciutto and baby arugula on top,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes , however be warned that the peter ' s favourite pizza with prosciutto and baby arugula is actually a $t$ , like a salad .",43,0
salad,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes , however be warned that the peter ' s favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top , like a $t$ .",56,0
bruschettas,"the large selection of $t$ , paninis , tramezzinis keep the palate from stagnating .",4,1
paninis,"the large selection of bruschettas , $t$ , tramezzinis keep the palate from stagnating .",6,1
tramezzinis,"the large selection of bruschettas , paninis , $t$ keep the palate from stagnating .",8,1
waiters,"have always found that the $t$ will go out of their way to be helpful , despite the fact they are often busy with lots of diners .",5,1
diners,"have always found that the waiters will go out of their way to be helpful , despite the fact they are often busy with lots of $t$ .",26,0
chef,"while this isn ' t classical restaurant fare , the $t$ has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn - outs .",10,1
cuisine,"while this isn ' t classical restaurant fare , the chef has given new life to an old $t$ with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn - outs .",18,0
dishes,"while this isn ' t classical restaurant fare , the chef has given new life to an old cuisine with some really innovative and tasty $t$ that are genuinely indian without being heavy or same old restaurant burn - outs .",25,1
indian,"while this isn ' t classical restaurant fare , the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely $t$ without being heavy or same old restaurant burn - outs .",29,1
owner,the $t$ truly caters to all your needs .,1,1
food,he takes real pride in his $t$ and his business .,6,1
meal,"so if you want a nice , enjoyable $t$ at montparnasse , go early for the pre - theater prix - fixe .",8,1
theater,"so if you want a nice , enjoyable meal at montparnasse , go early for the pre - $t$ prix - fixe .",18,1
dining,"over the years , it has always provided a pleasurable $t$ experience with quality food and wine .",10,1
food,"over the years , it has always provided a pleasurable dining experience with quality $t$ and wine .",14,1
wine,"over the years , it has always provided a pleasurable dining experience with quality food and $t$ .",16,1
menu,"the photobook $t$ was a cute touch , certainly helped my group and i pick the fried chicken , pork chop , and noodle dishes that we all ordered .",2,1
fried chicken,"the photobook menu was a cute touch , certainly helped my group and i pick the $t$ , pork chop , and noodle dishes that we all ordered .",16,0
pork chop,"the photobook menu was a cute touch , certainly helped my group and i pick the fried chicken , $t$ , and noodle dishes that we all ordered .",19,0
noodle dishes,"the photobook menu was a cute touch , certainly helped my group and i pick the fried chicken , pork chop , and $t$ that we all ordered .",23,0
indian food,i cannot imagine better $t$ in all of the city .,4,1
place,great romantic $t$ for a date ( try to get the corner booth table for a little privacy and to sit close ! ) .,2,1
corner booth table,great romantic place for a date ( try to get the $t$ for a little privacy and to sit close ! ) .,11,1
privacy,great romantic place for a date ( try to get the corner booth table for a little $t$ and to sit close ! ) .,17,1
open faced cheese sandwich,i asked for an $t$ and the manager basically told me to take my business elsewhere !,4,0
manager,i asked for an open faced cheese sandwich and the $t$ basically told me to take my business elsewhere !,10,-1
breads,very good $t$ as well .,2,1
naan,"if this happens , just ask for real $t$ .",8,0
price saturday night option,we were fans of the half - $t$ until some inedible squid during a recent visit .,7,1
squid,we were fans of the half - price saturday night option until some inedible $t$ during a recent visit .,14,-1
pizza,"$t$ is terrific , as is homemade pasta .",0,1
homemade pasta,"pizza is terrific , as is $t$ .",6,1
value ofr money,this is a wonderful place on all stand points especially $t$ .,10,1
soup,example is the $t$ which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz .,3,1
mushrooms,example is the soup which was about 6 oz for $12 dollars and the $t$ where $12 for about 1oz .,14,1
waiting,there are other people $t$ !,4,-1
beginning appetizers,"from $t$ , the scallops were incredible , to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations .",1,1
scallops,"from beginning appetizers , the $t$ were incredible , to the delicious chocolate souffle with rasberry mint sorbet , we were delighted by the taste sensations .",5,1
chocolate souffle with rasberry mint sorbet,"from beginning appetizers , the scallops were incredible , to the delicious $t$ , we were delighted by the taste sensations .",12,1
